
#          title damage energy traversable is_fall
Interface: plain      0      0           1       0
Interface: rocks      1      0           1       0
Interface: mud        0      1           1       0
Interface: wall      10      1           0       0
Interface: cliff      0      0           1       1
Cell:   75      0.00   2000.00   -884.99   80   70   76    0  wall wall wall   wall
Object:   OBJ00051     75      VBm   -50.00      flora     5.00    10.00            olivedrab       bush     medium             
Object:   OBJ00052     75      V3s    50.00      fauna     1.00     1.00            olivedrab     triped      small             
Object:   OBJ00053     75      VBt    10.00      flora     0.10     0.10            olivedrab       bush       tiny             
Object:   OBJ00054     75      d3t    50.00      fauna     0.10     0.10        dayglo-orange     triped       tiny             
Object:   OBJ00055     75      V3s    50.00      fauna     1.00     1.00            olivedrab     triped      small             
Object:   OBJ00056     75      V3s    50.00      fauna     1.00     1.00            olivedrab     triped      small             
Object:   OBJ00057     75      V3s    50.00      fauna     1.00     1.00            olivedrab     triped      small             
Object:   OBJ00058     75      c3m    50.00      fauna     5.00    10.00                 cyan     triped     medium             
Object:   OBJ00059     75      d3s    50.00      fauna     1.00     1.00        dayglo-orange     triped      small             
Object:   OBJ00060     75      cBs    50.00      flora     1.00     1.00                 cyan       bush      small             
Object:   OBJ00061     75      V3t    50.00      fauna     0.10     0.10            olivedrab     triped       tiny             
Object:   OBJ00062     75      c3s    50.00      fauna     1.00     1.00                 cyan     triped      small             
Object:   OBJ00063     75      d3t    50.00      fauna     0.10     0.10        dayglo-orange     triped       tiny             
Object:   OBJ00064     75      V3s    50.00      fauna     1.00     1.00            olivedrab     triped      small             
Object:   OBJ00065     75      cBs    50.00      flora     1.00     1.00                 cyan       bush      small             
Object:   OBJ00066     75      d3s    50.00      fauna     1.00     1.00        dayglo-orange     triped      small             
Object:   OBJ00067     75      VBs    50.00      flora     1.00     1.00            olivedrab       bush      small             
Object:   OBJ00068     75      d3s    50.00      fauna     1.00     1.00        dayglo-orange     triped      small             
Object:   OBJ00069     75      d3s    50.00      fauna     1.00     1.00        dayglo-orange     triped      small             
Object:   OBJ00070     75      V3s    50.00      fauna     1.00     1.00            olivedrab     triped      small             
Object:   OBJ00071     75      cBm    10.00      flora     5.00    10.00                 cyan       bush     medium             
